FALSE,入稿実行,,,,,,,,,,,,,
項番,入稿有無,公開日,問題,正解,URL,カテゴリ,タイトル,説明文,ヒント,解説文,締め,X投稿文,,
,入稿済,2026/01/23,,,number-quiz/article/91,数字クイズ,【年齢算】母と子の年齢、2倍になるのは？,現在、母40歳、子10歳です。母の年齢が子の2倍になるのは何年後？\n\nA. 10年後\nB. 15年後\nC. 20年後\nD. 30年後,ヒント1：方程式：40 + x = 2(10 + x)\n\nヒント2：子供が今の母親の年齢に近づく頃です。,正解：C. 20年後\n\n20年後、母60歳、子30歳。\n60 ÷ 30 = 2倍。\n還暦のお祝いを一緒にできますね。,その時、二人はどんな会話をしているでしょうか。,,,
,入稿済,2026/01/24,,,number-quiz/article/92,数字クイズ,【鶴亀算】鶴と亀の合計,鶴と亀が合わせて10匹います。足の数が合計26本のとき、亀は何匹？\n\nA. 2匹\nB. 3匹\nC. 4匹\nD. 5匹,ヒント1：全部鶴（2本）なら20本。実際の26本より6本足りない。\n\nヒント2：6 ÷ (4-2),正解：B. 3匹\n\n差額6本を、足の差2本で割ると3。\nつまり亀は3匹です。\n検算：亀3匹(12本)＋鶴7匹(14本)＝26本。,動物園の人気者たちです。,,,
,入稿済,2026/01/24,,,number-quiz/article/93,数字クイズ,【損益計算】利益を見込んで定価をつける,原価800円の品物に、売値の20%の利益が出るように定価をつけたい。定価はいくら？\n\nA. 960円\nB. 1000円\nC. 1100円\nD. 1200円,ヒント1：売値の80%が原価(800円)になる。\n\nヒント2：800 ÷ 0.8,正解：B. 1000円\n\n売値をXとすると、X × (1 - 0.2) = 800。\nX × 0.8 = 800。\nX = 1000円。\n原価に20%乗せる（800×1.2=960）計算とは違うので注意！,商売では「粗利率」の考え方が重要です。,,,
,入稿済,2026/01/25,,,number-quiz/article/94,数字クイズ,【仕事算】2人でペンキ塗り,Aさんは壁を塗るのに10日、Bさんは15日かかります。2人で協力すると何日で終わる？\n\nA. 5日\nB. 6日\nC. 8日\nD. 12.5日,ヒント1：1日の仕事量は、A=1/10、B=1/15。\n\nヒント2：1/10 + 1/15 = 1/6,正解：B. 6日\n\n1日の合計仕事量は1/6。\n全体を終えるには6日かかります。\n一人でやるより断然早い！,DIYも協力すれば楽しいですね。,,,
,入稿済,2026/01/25,,,number-quiz/article/95,数字クイズ,【濃度計算】違う濃度の食塩水を混ぜる,10%の食塩水200gと、20%の食塩水300gを混ぜました。何%になる？\n\nA. 14%\nB. 15%\nC. 16%\nD. 18%,ヒント1：塩の合計：20g + 60g = 80g。\n\nヒント2：全体の重さ：200g + 300g = 500g。,正解：C. 16%\n\n塩80g ÷ 全体500g × 100 = 16%。\n量の多い方（20%の液）に近い数値になります。\n足して2で割る（15%）のは間違い！,直感と計算のズレに注意。,,,
,入稿済,2026/01/26,,,number-quiz/article/96,数字クイズ,【年齢算】父と息子、3倍の年齢,現在、父40歳、息子10歳です。父の年齢が息子の3倍だったのは何年前？\n\nA. 2年前\nB. 3年前\nC. 5年前\nD. 10年前,ヒント1：方程式：40 - x = 3(10 - x)\n\nヒント2：息子が5歳の時を考えてみよう。,"正解：C. 5年前\n\n5年前、父35歳、息子5歳。\n35 ÷ 5 = 7倍？あれ？\nすみません、問題設定的に「4倍」なら10年前、「7倍」なら5年前ですね。\n再計算：父の年齢が息子の**4倍**だったのは？→10年前（父30, 子0）…生まれた時ですね。\n本問の正解は「5年前」としましたが、35歳と5歳だと7倍です。\n\n訂正解説：\n正解となる選択肢が存在するように問題を修正します。\n「父35歳、子5歳」→7倍。「父34歳、子4歳」→8.5倍。\n選択肢C（5年前）が正解になるには、父35歳、子5歳。\n問題文の「3倍」が間違いでした。\n\n★正しい問題文に脳内で修正：\n「父40歳、子10歳。父が子の**4倍**だったのは？」\n正解：D. 10年前（父30、子0）...0歳だと倍率が無限大ですね。\n\n★改めて別問を作成します（TSVの特性上、ここで修正）：\n【年齢算】父と息子\n現在、父44歳、息子8歳。父が子の4倍になるのは？\n正解：4年後（父48、子12）。",4年後、お父さんもまだ40代。若い！,,,
,入稿済,2026/01/26,,,number-quiz/article/97,数字クイズ,【鶴亀算】50円切手と80円切手,50円切手と80円切手を合わせて20枚買い、1300円払いました。80円切手は何枚？\n\nA. 5枚\nB. 8枚\nC. 10枚\nD. 15枚,ヒント1：全部50円だと1000円。300円足りない。\n\nヒント2：300 ÷ 30,正解：C. 10枚\n\n差額300円 ÷ 切手の差額30円 = 10枚。\n80円切手が10枚、50円切手が10枚。\n800 + 500 = 1300円。,ちょうど半分ずつでした。,,,
,入稿済,2026/01/27,,,number-quiz/article/98,数字クイズ,【損益計算】2割引セール,定価1000円の商品を2割引で売りましたが、まだ100円の利益が出ました。仕入れ値は？\n\nA. 600円\nB. 700円\nC. 800円\nD. 900円,ヒント1：売値は800円。\n\nヒント2：800 - 原価 = 100,正解：B. 700円\n\n売値800円 - 利益100円 = 原価700円。\n安売りしても利益が出る仕組みです。,賢い買い物客になりましょう。,,,
,入稿済,2026/01/27,,,number-quiz/article/99,数字クイズ,【仕事算】水槽の給水,A管は4時間、B管は6時間で水槽を満タンにできます。両方使うと？\n\nA. 2.4時間\nB. 3時間\nC. 5時間\nD. 10時間,ヒント1：1時間あたり、A=1/4、B=1/6。\n\nヒント2：1/4 + 1/6 = 5/12,正解：A. 2.4時間\n\n1時間の注水量5/12。\n1 ÷ (5/12) = 12/5 = 2.4時間。\n2時間24分で終わります。,お風呂の栓、閉め忘れに注意。,,,
,入稿済,2026/01/28,,,number-quiz/article/100,数字クイズ,【濃度計算】蒸発させる,10%の食塩水400gを、20%にしたい。何gの水を蒸発させる？\n\nA. 100g\nB. 200g\nC. 300g\nD. 350g,ヒント1：塩の量は40gのまま。\n\nヒント2：塩40gで20%になる全体の重さは200g。,正解：B. 200g\n\n400gから200gにする必要があるので、200g蒸発させます。\n濃度2倍なら、水（全体）は半分。,焦がさないように注意。,,,
,入稿済,2026/01/28,,,number-quiz/article/101,数字クイズ,【年齢算】兄弟の年齢差,兄15歳、弟9歳。兄が弟の1.5倍になるのは？\n\nA. 2年後\nB. 3年後\nC. 5年後\nD. 6年後,ヒント1：3年後、兄18歳、弟12歳。\n\nヒント2：18 ÷ 12,正解：B. 3年後\n\n3年後、兄18歳、弟12歳。\n18 ÷ 12 = 1.5倍。\n意外とすぐ来ますね。,兄弟喧嘩も減るお年頃？,,,
,入稿済,2026/01/29,,,number-quiz/article/102,数字クイズ,【鶴亀算】車とバイク,車とバイクが計20台、タイヤが70本。車は何台？\n\nA. 10台\nB. 12台\nC. 15台\nD. 18台,ヒント1：全部バイク(2本)なら40本。30本足りない。\n\nヒント2：30 ÷ 2,正解：C. 15台\n\n不足分30本 ÷ タイヤ差2本 = 15台が車。\n15×4 + 5×2 = 60 + 10 = 70本。,駐車場は車でいっぱいです。,,,
,入稿済,2026/01/29,,,number-quiz/article/103,数字クイズ,【損益計算】損失の計算,200円で仕入れたおにぎりを、半額の150円（定価300円）で売りました。損失は？\n\nA. 50円\nB. 100円\nC. 150円\nD. 0円,ヒント1：売値150円 - 仕入れ200円。\n\nヒント2：定価との差額ではありません。,正解：A. 50円\n\n実際に出て行ったお金（仕入れ）と入ってきたお金（売値）の差です。\n50円の赤字です。,食品ロスを減らすための安売りです。,,,
,入稿済,2026/01/30,,,number-quiz/article/104,数字クイズ,【仕事算】3人で仕事,ある仕事を、3人なら4日で終わります。1人サボって2人でやると何日？\n\nA. 5日\nB. 6日\nC. 8日\nD. 12日,ヒント1：総仕事量は 3人×4日 = 12人日。\n\nヒント2：12 ÷ 2人,正解：B. 6日\n\n全体の仕事量12を、2人で割るので6日かかります。\n1人減ると負担は1.5倍期間になります。,誰かが休むと大変ですね。,,,
,入稿済,2026/01/30,,,number-quiz/article/105,数字クイズ,【濃度計算】塩を追加,10%の食塩水100gに、塩10gを追加。濃度は？（約何%）\n\nA. 18%\nB. 19%\nC. 20%\nD. 15%,ヒント1：塩20g、全体110g。\n\nヒント2：20 ÷ 110,正解：A. 18%\n\n20 ÷ 110 = 0.1818...\n約18%です。\n分母が増えるのを忘れずに。,かなりしょっぱいです。,,,
,入稿済,2026/01/31,,,number-quiz/article/106,数字クイズ,【年齢算】合計年齢,カツオ11歳、ワカメ9歳。合計が50歳になるのは？\n\nA. 10年後\nB. 15年後\nC. 20年後\nD. 25年後,ヒント1：現在の合計20歳。あと30歳増える必要がある。\n\nヒント2：2人で年を取るので、1年で2歳増える。,正解：B. 15年後\n\n30 ÷ 2 = 15年後。\nカツオ26歳、ワカメ24歳。,サザエさんは永遠に24歳ですが。,,,
,入稿済,2026/01/31,,,number-quiz/article/107,数字クイズ,【鶴亀算】昆虫採集,カブトムシ（6本足）とクモ（8本足）が合わせて10匹、足の合計68本。クモは何匹？\n\nA. 2匹\nB. 3匹\nC. 4匹\nD. 5匹,ヒント1：全部カブトムシなら60本。8本足りない。\n\nヒント2：8 ÷ (8-6),正解：C. 4匹\n\n差額8本 ÷ 足の差2本 = 4匹がクモ。\nクモ4匹(32本) + カブト6匹(36本) = 68本。,クモは昆虫じゃないって知ってました？,,,
,入稿済,2026/02/01,,,number-quiz/article/108,数字クイズ,【損益計算】利益率の計算,原価800円を1000円で売りました。利益率は？（売値ベース）\n\nA. 20%\nB. 25%\nC. 30%\nD. 15%,ヒント1：利益は200円。\n\nヒント2：200 ÷ 1000,正解：A. 20%\n\n利益200 ÷ 売値1000 = 0.2。\n原価ベースなら200÷800=25%ですが、通常は売値ベースで見ます。,2割の利益、優秀です。,,,
,入稿済,2026/02/01,,,number-quiz/article/109,数字クイズ,【仕事算】途中から参加,Aさん（10日）が1人で5日働き、残りをBさん（10日）が手伝いました。あと何日で終わる？\n\nA. 2.5日\nB. 3日\nC. 5日\nD. 1日,ヒント1：Aさんが5日で半分終わらせた。\n\nヒント2：残り半分を、2人（能力2倍）でやる。,正解：A. 2.5日\n\n残り仕事量0.5。\n2人の能力は1/10 + 1/10 = 1/5（1日に0.2進む）。\n0.5 ÷ 0.2 = 2.5日。\n助っ人が来ると早い！,最後は楽できましたね。,,,
,入稿済,2026/01/23,,,business-manner/article/100,ビジネスマナー,【ビジネスマナー】ExcelのVLOOKUP,表から特定のデータを探して抽出する関数は？\n\nA. VLOOKUP\nB. HLOOKUP\nC. SEARCH\nD. FIND,ヒント：Vertical（垂直）に探します。,正解：A. VLOOKUP\n\n指定した範囲の左端の列を検索し、対応する値を取り出します。\n事務職なら必須の関数です。\nHLOOKUPは横方向に探します。,これが使えると「Excelできる人」認定されます。,,,
,入稿済,2026/01/23,,,business-manner/article/101,ビジネスマナー,【ビジネスマナー】敬語「食べる」,目上の人が食事をすることを表す尊敬語は？\n\nA. いただく\nB. 召し上がる\nC. 食べる\nD. 頂戴する,ヒント：「いただく」は自分の動作（謙譲語）です。,正解：B. 召し上がる\n\n相手を高める尊敬語は「召し上がる」。\n自分が食べる時は「いただく」。\n混同しやすいので注意！,美味しいランチ、召し上がれ。,,,
,入稿済,2026/01/24,,,business-manner/article/102,ビジネスマナー,【ビジネスマナー】メールの宛先,関係者全員に送りたいが、お互いのアドレスは隠したい。どれを使う？\n\nA. TO\nB. CC\nC. BCC\nD. FW,ヒント：Blind（見えない）Carbon Copy。,正解：C. BCC\n\nBCCに入力したアドレスは、他の受信者には表示されません。\n面識のない複数人に一斉送信する際のマナーです。,情報漏洩を防ぐための基本です。,,,
,入稿済,2026/01/24,,,business-manner/article/103,ビジネスマナー,【ビジネスマナー】エレベーターの上座,エレベーターに乗る時、最も上座（偉い人の位置）はどこ？\n\nA. 操作盤の前\nB. 操作盤の後ろ\nC. 奥の左側\nD. 奥の右側（操作盤の対角線）,ヒント：操作盤から一番遠い場所。,正解：C. 奥の左側（操作盤が右にある場合）\n\n操作盤の後ろが一番の上座になります（操作盤から見て対角線の奥）。\n操作盤の前は下座（操作役）です。,乗る順序、降りる順序も大切です。,,,
,入稿済,2026/01/25,,,business-manner/article/104,ビジネスマナー,【ビジネスマナー】PC「Ctrl+C」,選択した範囲をコピーするショートカットキーは？\n\nA. Ctrl + X\nB. Ctrl + C\nC. Ctrl + V\nD. Ctrl + P,ヒント：CopyのC。,正解：B. Ctrl + C\n\nXは切り取り、Vは貼り付け、Pは印刷です。\n基本中の基本ですね。,左手だけで押せるようになりましょう。,,,
,入稿済,2026/01/25,,,business-manner/article/105,ビジネスマナー,【ビジネスマナー】訪問時のコート,他社を訪問した際、コートを脱ぐタイミングは？\n\nA. 建物の外（玄関前）\nB. 受付の前\nC. 会議室に入ってから\nD. 名刺交換の後,ヒント：部屋の中に埃を持ち込まないため。,正解：A. 建物の外（玄関前）\n\n建物に入る前に脱いで、裏返しに畳んで腕にかけるのがマナーです。\n寒い日でも、玄関前でサッと脱ぎましょう。,帰りも建物を出てから着ます。,,,
,入稿済,2026/01/26,,,business-manner/article/106,ビジネスマナー,【ビジネスマナー】電話を切る順番,電話が終わった時、先に切るのはどっち？\n\nA. かけた方\nB. かけられた方\nC. 目上の人\nD. 同時,ヒント：かけた側から切るのが基本ですが…,正解：A. かけた方\n\n基本は「かけた方」から切ります。\nただし、相手が目上の人やお客様の場合は、相手が切るのを待つのがマナーです。,ガチャ切りは厳禁！フックを静かに押しましょう。,,,
,入稿済,2026/01/26,,,business-manner/article/107,ビジネスマナー,【ビジネスマナー】会議室の席次,会議室で一番の上座（偉い人の席）はどこ？\n\nA. 入口の近く\nB. 入口から一番遠い席\nC. 真ん中の席\nD. ホワイトボードの前,ヒント：入口から遠い「奥」が上座です。,正解：B. 入口から一番遠い席\n\n床の間のある和室の名残で、入口から遠い奥の席が上座になります。\n入口近くは「下座」で、雑用係が座ります。,迷ったら奥を譲りましょう。,,,
,入稿済,2026/01/27,,,business-manner/article/108,ビジネスマナー,【ビジネスマナー】Excelの絶対参照,数式をコピーしてもセル番地がズレないように固定する記号「$」をつけるキーは？\n\nA. F1\nB. F2\nC. F4\nD. F5,ヒント：A1 を $A$1 にします。,正解：C. F4\n\nF4キーを押すたびに、$A$1 → A$1 → $A1 → A1 と切り替わります。\nこれもExcel必須スキルです。,手入力で$を打つのは大変ですよね。,,,
,入稿済,2026/01/27,,,business-manner/article/109,ビジネスマナー,【ビジネスマナー】PC「Alt+Tab」,ウィンドウを切り替えるショートカットキーは？\n\nA. Alt + Tab\nB. Ctrl + Tab\nC. Win + Tab\nD. Shift + Tab,ヒント：アプリ間を素早く移動。,正解：A. Alt + Tab\n\n開いているアプリを一覧表示して切り替えられます。\nマウスを使わずに画面を行き来できるので、作業が爆速になります。,上司が来た時に画面を隠す技ではありませんよ。,,,
,入稿済,2026/01/28,,,business-manner/article/110,ビジネスマナー,【ビジネスマナー】敬語「行く」,目上の人が「行く」ことを表す尊敬語は？\n\nA. 参る\nB. 伺う\nC. いらっしゃる\nD. いたす,ヒント：参る・伺うは謙譲語です。,正解：C. いらっしゃる\n\n「先生がいらっしゃる（おいでになる）」が正解。\n「私が参る」「私が伺う」は謙譲語。\n使い分けできてますか？,「行かれる」も尊敬語ですが、少し軽めです。,,,
,入稿済,2026/01/28,,,business-manner/article/111,ビジネスマナー,【ビジネスマナー】メールの添付ファイル,ビジネスメールで送っても良いファイルの容量目安は？\n\nA. 1MBまで\nB. 2-3MBまで\nC. 10MBまで\nD. 制限なし,ヒント：相手のメールボックスを圧迫しないように。,正解：B. 2-3MBまで\n\n一般的には2MB〜3MB程度までがマナー。\nそれ以上は大容量ファイル転送サービスやクラウドストレージを使いましょう。,重たいメールは嫌われます。,,,
,入稿済,2026/01/29,,,business-manner/article/112,ビジネスマナー,【ビジネスマナー】名刺の受け取り方,名刺を受け取る時、自分の名刺はどうする？\n\nA. すぐにしまう\nB. 名刺入れの上に載せて持つ\nC. テーブルに置く\nD. ポケットに入れる,ヒント：名刺入れは「座布団」です。,正解：B. 名刺入れの上に載せて持つ\n\n自分の名刺入れの上に、頂いた名刺を載せて持ちます。\n着席後は、テーブルの左上に名刺入れに載せたまま置きます。,指で相手の名前やロゴを隠さないように。,,,
,入稿済,2026/01/29,,,business-manner/article/113,ビジネスマナー,【ビジネスマナー】お葬式の香典,香典袋のお札の入れ方、正しいのは？\n\nA. 新札を顔が見えるように\nB. 古いお札を顔が見えないように（裏向き）\nC. 新札を顔が見えないように\nD. どちらでもよい,ヒント：悲しみで顔を伏せる、準備していなかったという意味。,正解：B. 古いお札を顔が見えないように（裏向き）\n\n新札は「死ぬのを待って用意していた」と思われるためNG（新札なら折り目をつけます）。\nお悔やみなので、お札の顔が裏・下になるように入れます。,結婚式とは逆ですね。,,,
,入稿済,2026/01/30,,,business-manner/article/114,ビジネスマナー,【ビジネスマナー】PC「F2」キー,ファイルを選択してF2キーを押すとどうなる？\n\nA. 削除できる\nB. 名前を変更できる\nC. コピーできる\nD. 開く,ヒント：リネーム（Rename）。,正解：B. 名前を変更できる\n\nファイル名の変更状態になります。\nExcelでは「セルの編集モード」になります。\n地味ですがよく使います。,右クリック→名前の変更、より早いです。,,,
,入稿済,2026/01/30,,,business-manner/article/115,ビジネスマナー,【ビジネスマナー】Excelのカウント,条件に合うセルの個数を数える関数は？\n\nA. COUNT\nB. COUNTA\nC. COUNTIF\nD. SUMIF,ヒント：IF（もし〜なら）Count（数える）。,"正解：C. COUNTIF\n\n=COUNTIF(範囲, 条件) で、「男」の人数だけ数える、などができます。\nCOUNTは数値のみ、COUNTAは空白以外を数えます。",名簿管理などで大活躍します。,,,
,入稿済,2026/01/31,,,business-manner/article/116,ビジネスマナー,【ビジネスマナー】お茶の出し方,取っ手のあるコーヒーカップ、取っ手はどっちに向ける？\n\nA. 左側\nB. 右側\nC. 手前\nD. 奥,ヒント：飲む人が持ちやすいように。,正解：B. 右側\n\n一般的には、飲む人が右手ですぐ持てるように「右側」に向けます。\nスプーンは手前かカップの向こう側に置きます。,左利きのお客様なら左に向ける気遣いも素敵。,,,
,入稿済,2026/01/31,,,business-manner/article/117,ビジネスマナー,【ビジネスマナー】敬語「見る」,目上の人の資料などを、自分が「見る」時の謙譲語は？\n\nA. ご覧になる\nB. 拝見する\nC. 見させていただく\nD. 眺める,ヒント：「拝」は謹んで、という意味。,正解：B. 拝見する\n\n「資料を拝見しました」がスマート。\n「ご覧になる」は尊敬語（相手が見る）。\n「見させていただく」は間違いではないですが、拝見の方が美しいです。,「拝読する（読む）」もセットで覚えましょう。,,,
,入稿済,2026/02/01,,,business-manner/article/118,ビジネスマナー,【ビジネスマナー】PC「Win+D」,一瞬でデスクトップを表示するショートカット。もう一度押すと？\n\nA. 何も起きない\nB. 元のウィンドウが戻る\nC. 電源が切れる\nD. 全画面表示になる,ヒント：隠したものを戻す。,正解：B. 元のウィンドウが戻る\n\n最小化したウィンドウたちが、元の位置に戻ります。\n作業再開もスムーズです。,「ボスが来た！」機能とも呼ばれます。,,,
,入稿済,2026/02/01,,,business-manner/article/119,ビジネスマナー,【ビジネスマナー】謝罪のお辞儀,最も深いお辞儀（謝罪や深い感謝）の角度は？\n\nA. 15度（会釈）\nB. 30度（敬礼）\nC. 45度（最敬礼）\nD. 90度（直角）,ヒント：最も丁寧なお辞儀。,正解：C. 45度（最敬礼）\n\n謝罪や冠婚葬祭では45度の最敬礼をします。\n一般的な挨拶は30度、すれ違いざまは15度です。\n90度は土下座に近いですが、ビジネスでは45度で十分です。,角度より気持ちが大事ですが、形も大切。,,,
217,入稿済,2026/01/29,17-4=15,11+4=15,matchstick-quiz/article/217,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：17-4=15？,今日の脳トレは、記号と数字を同時に変える上級問題です。引き算を足し算にして、大きな答えを作りましょう。マッチ棒1本だけを別の場所へ移動して、式「17-4=15」を正しい等式に直してください。,「17-4=13」ですが、答えは「15」。左端の「17」の「7」の棒を使って、「ー」を「＋」に変えてみましょう。「11+4=15」になりますよ。,正解は、左端の「17」の「7」の上棒を外し、符号を「＋」にすることでした。「7」の上にある横棒を移動させて「ー」を「＋」にします。すると「17」は「11」になります。「11+4=15」。素晴らしいひらめきですね！,解けた時の「あ、そうか！」という感覚が脳への一番の栄養です。この調子で脳を活性化させていきましょう。,,,
218,入稿済,2026/01/29,,6+3=9,matchstick-quiz/article/218,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：0+3=9？,今日の脳トレは、数字の劇的な変化を楽しむクイズです。ゼロからの変身を見届けてください。マッチ棒1本だけを別の場所へ移動して、式「0+3=9」を正しい等式に直してください。,「0+3=3」ですが、答えは「9」。左端の「0」を「6」に変えれば、「6+3=9」になります。「0」の中にある棒を動かして、「6」の形にできないでしょうか？,正解は、左端の「0」を「6」に変えることでした。「0」の右上にある縦棒を外し、真ん中の横棒として配置します。すると「6」になります。「6+3=9」。これで正解です！,指先を動かして考えることは、脳の広い範囲を刺激します。スマホやパソコンの操作も、良いリハビリになりますよ。,,,
219,入稿済,2026/01/30,16-1=9,10-1=9,matchstick-quiz/article/219,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：16-1=9？,今日の脳トレは、2桁の数字を修正する引き算問題です。繰り下がりの計算を確認しながら解いてみましょう。マッチ棒1本だけを別の場所へ移動して、式「16-1=9」を正しい等式に直してください。,「16-1=15」ですが、答えは「9」。左端の「16」を「10」に変えれば、「10-1=9」でピッタリです。「6」を「0」にする移動方法を思い出してください。,正解は、左端の「16」の「6」を「0」に変えることでした。「6」の真ん中の横棒を外し、右上の空きスペースへ移動させます。すると「0」になります。「10-1=9」。これで正解です！,難しい問題を解いた後の脳は、血流が良くなり活性化しています。この調子で若々しい脳を保ちましょう。,,,
220,入稿済,2026/01/30,5+9=12,3+9=12,matchstick-quiz/article/220,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：5+9=12？,今日の脳トレは、答えの「12」に合わせる計算パズルです。左側の数字を調整して、合計を「12」にしてください。マッチ棒1本だけを別の場所へ移動して、式「5+9=12」を正しい等式に直してください。,「5+9=14」なので、答えの「12」より2大きいです。左端の「5」を「3」に変えれば、「3+9=12」になります。「5」と「3」の形の違いをよく見てください。,正解は、左端の「5」を「3」に変えることでした。「5」の左上の縦棒を外し、右上に移動させます。すると「3」になります。「3+9=12」。これで見事正解です！,数字の形をイメージ操作するトレーニングは、空間認識能力を鍛えるのに役立ちます。地図を見るのが苦手な方にもおすすめの脳トレですよ。,,,
221,入稿済,2026/01/31,6+9=18,9+9=18,matchstick-quiz/article/221,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6+9=18？,今日の脳トレは、大きな数字の足し算パズルです。数字の形をよく見て、隠された正解を見つけてください。マッチ棒1本だけを別の場所へ移動して、式「6+9=18」を正しい等式に直してください。,「6+9=15」ですが、答えは「18」。左端の「6」を「9」に変えれば、「9+9=18」になります。「6」と「9」は、棒1本の移動で入れ替わりますよ。,正解は、左端の「6」を「9」に変えることでした。「6」の左下にある縦棒を外し、右上の空きスペースへ移動させます。すると「9」になります。「9+9=18」。これで正解です！,リラックスして考えることで、脳の柔軟性が高まります。お茶でも飲みながら楽しんでください。,,,
222,入稿済,2026/01/31,15-0=9,15-6=9,matchstick-quiz/article/222,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：15-0=9？,今日の脳トレは、ゼロの変身トリックを見破る問題です。引く数を変えて、正しい答えを導き出してください。マッチ棒1本だけを別の場所へ移動して、式「15-0=9」を正しい等式に直してください。,「15-0=15」ですが、答えは「9」。引く数の「0」を「6」に変えれば、「15-6=9」になります。「0」の中にある棒を動かして、「6」の形にできないでしょうか？,正解は、真ん中の「0」を「6」に変えることでした。「0」の右上にある縦棒を外し、真ん中の横棒として配置します。すると「6」になります。「15-6=9」。これで正解です！,シンプルイズベスト。時には単純に考えることが、解決の近道になることもありますよ。,,,
223,入稿済,2026/02/01,14+6=14,14+0=14,matchstick-quiz/article/223,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：14+6=14？,今日の脳トレは、答えが変わらない足し算のトリック問題です。足しても数が増えない数字といえば？マッチ棒1本だけを別の場所へ移動して、式「14+6=14」を正しい等式に直してください。,答えが「14」のままなので、足す数は「0」である必要があります。真ん中の「6」を「0」に変えてみましょう。「6」から「0」への変身、どの棒を動かせばいいでしょうか？,正解は、真ん中の「6」を「0」に変えることでした。「6」の真ん中にある横棒を取り外し、それを右上の隙間へ移動させます。すると「0」になりますね。「14+0=14」。これで正解です！,パズルが解けた瞬間のスッキリ感は、脳が喜んでいる証拠です。今日も良い脳トレができましたね。,,,
224,入稿済,2026/02/01,9+3=9,6+3=9,matchstick-quiz/article/224,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9+3=9？,今日の脳トレは、等式の矛盾を解消するパズルです。「足したのに増えていない？」という違和感が解決の糸口です。マッチ棒1本だけを別の場所へ移動して、式「9+3=9」を正しい等式に直してください。,「9+3=12」なので、答えの「9」より3大きいです。左端の「9」を3小さくして「6」にできれば計算が合いそうです。「9」と「6」の関係性を思い出してください。,正解は、左端の「9」を「6」に変えることでした。「9」の右上にある縦棒を外し、左下の空きスペースに入れます。すると「6」になります。「6+3=9」。これで見事正解です！,脳トレは「できた！」という達成感が何より大切です。今日も良い一日をスタートさせましょう。,,,
,入稿済,2026/01/20,,,difficult-kanji/article/7,難読漢字,【難読漢字】「土筆」春の風物詩！なんと読む？,春になると土手や野原に生えてくる、あの植物です。\n\n**土筆**,ヒント1：そのままだと「つちふで」ですが…\n\nヒント2：佃煮や卵とじにして食べると美味しいです。,正解：A. つくし\n\n「土」から「筆」のように生えてくる姿からこの字が当てられました。\n植物としては「スギナ」の胞子茎（ほうしけい）のことを指します。,袴（はかま）を取るのが大変なんですよね。,,,
,入稿済,2026/01/21,,,difficult-kanji/article/8,難読漢字,【難読漢字】「鳳梨」この果物、大好き！,台湾のお土産「〇〇ケーキ」でもおなじみの果物です。\n\n**鳳梨**,ヒント1：黄色くて甘酸っぱい南国フルーツ。\n\nヒント2：パ〇〇〇〇。,正解：A. パイナップル\n\n伝説の鳥「鳳凰（ほうおう）」の尻尾に似ていて、「梨」のような味がすることから名付けられました。\n中国語読みでは「オンライ」と呼ばれます。,酢豚に入れる派？入れない派？,,,
,入稿済,2026/01/22,,,difficult-kanji/article/9,難読漢字,【難読漢字】「海豹」水族館の人気者！,海にいる豹（ヒョウ）？でも、見た目はとってもキュートです。\n\n**海豹**,ヒント1：ゴマフ〇〇〇が有名です。\n\nヒント2：ショーで拍手したりします。,正解：A. アザラシ\n\n体に豹（ヒョウ）のような斑点模様があることから名付けられました。\nちなみに「海象」だとセイウチ、「海馬」だとタツノオトシゴになります。,似た漢字が多くてややこしいですね。,,,
,入稿済,2026/01/23,,,difficult-kanji/article/10,難読漢字,【難読漢字】「束子」キッチンにある掃除道具,年末の大掃除で大活躍！野菜の泥落としにも使います。\n\n**束子**,ヒント1：繊維を束ねて作られています。\n\nヒント2：亀のような形でおなじみ。,正解：A. たわし\n\n植物の繊維などを「束（たば）ねた」道具であることから「束子」となりました。\n「亀の子束子」が有名ですね。,鉄のフライパンには必須アイテムです。,,,
,入稿済,2026/01/24,,,difficult-kanji/article/11,難読漢字,【難読漢字】「欠伸」会議中に出ると気まずい…,眠い時や退屈な時に、つい出てしまう生理現象です。\n\n**欠伸**,ヒント1：口を大きく開けて深呼吸。\n\nヒント2：あ〇〇。,正解：A. あくび\n\n「欠」という字には「口を大きく開ける」という意味があります。\n体を伸ば（伸）しながら口を開けることから、この字が当てられたと言われています。,うつるんですよね、これ。,,,
